id,市区町村,都道府県,面積(km2),経度,緯度
1108,空知郡上砂川町,北海道,39.84,142.00388,43.44855
1109,空知郡奈井江町,北海道,88.2,141.92493,43.41835
1110,美唄市,北海道,277.42,141.88172,43.33801
1111,三笠市,北海道,302.06,141.99286,43.23985
1112,雨竜郡雨竜町,北海道,191.08,141.75014,43.6948
1113,増毛郡増毛町,北海道,368.89,141.53573,43.78807
1114,樺戸郡新十津川町,北海道,494.37,141.72814,43.59035
1115,砂川市,北海道,78.5,141.93289,43.50341
1116,樺戸郡浦臼町,北海道,101.5,141.78917,43.43859
1117,石狩市,北海道,721.13,141.44283,43.46588
1118,石狩郡当別町,北海道,422.45,141.56272,43.36362
1119,樺戸郡月形町,北海道,149.77,141.67306,43.36975
1120,岩見沢市,北海道,480.57,141.79743,43.18084
1121,石狩郡新篠津村,北海道,77.97,141.61481,43.22436
1122,江別市,北海道,187.26,141.54382,43.10732
1123,空知郡南幌町,北海道,81.13,141.63345,43.05961
1124,夕張郡栗山町,北海道,203.27,141.87092,43.02671
1125,夕張郡長沼町,北海道,168.05,141.69496,42.9894
1126,勇払郡安平町,北海道,236.42,141.83781,42.81356
1127,千歳市,北海道,594.61,141.50954,42.80049
1128,苫小牧市,北海道,561.13,141.57955,42.68213
1129,北広島市,北海道,118.66,141.51496,42.96169
1130,恵庭市,北海道,293.62,141.46425,42.87132
1131,Sapporo,北海道,1119.2,141.24957,42.99472
1132,小樽市,北海道,243.4,141.0263,43.15642
1133,伊達市,北海道,446.35,141.08979,42.69254
1134,白老郡白老町,北海道,425.18,141.24281,42.58775
1135,余市郡赤井川村,北海道,279.72,140.90655,43.05517
1136,虻田郡京極町,北海道,231.48,140.94284,42.88771
1137,虻田郡喜茂別町,北海道,188.36,141.00542,42.79835
1138,有珠郡壮瞥町,北海道,201.55,140.95673,42.57445
1139,登別市,北海道,212.05,141.07586,42.46561
1140,余市郡余市町,北海道,140.18,140.77415,43.17645
1141,余市郡仁木町,北海道,168.14,140.7351,43.09083
1142,古平郡古平町,北海道,188.11,140.60969,43.1881
1143,岩内郡共和町,北海道,304.5,140.62728,42.98826
1144,虻田郡倶知安町,北海道,260.62,140.77966,42.91368
1145,虻田郡真狩村,北海道,114.48,140.79837,42.75762
1146,虻田郡留寿都村,北海道,119.85,140.90031,42.71834
1147,虻田郡洞爺湖町,北海道,180.74,140.83069,42.62568
1148,室蘭市,北海道,80.61,140.98834,42.36663
1149,Tomari,北海道,82.0,140.51551,43.10092
1150,古宇郡神恵内村,北海道,147.29,140.43283,43.19374
1151,積丹郡積丹町,北海道,237.21,140.47774,43.28792
1152,磯谷郡蘭越町,北海道,449.09,140.49128,42.80026
1153,岩内郡岩内町,北海道,70.48,140.47831,42.93736
1154,虻田郡ニセコ町,北海道,196.61,140.67408,42.77981
1155,虻田郡豊浦町,北海道,233.23,140.65284,42.64429
1156,寿都郡黒松内町,北海道,345.16,140.36376,42.66726
1157,Oshamambe,北海道,311.51,140.31202,42.521
1158,島牧郡島牧村,北海道,436.51,140.07064,42.6554
1159,Imakane,北海道,567.12,140.09364,42.44361
1160,二海郡八雲町,北海道,954.11,140.2005,42.18996
1161,久遠郡せたな町,北海道,637.59,139.90191,42.3832
1162,茅部郡森町,北海道,367.89,140.56216,42.0701
1163,檜山郡厚沢部町,北海道,460.21,140.34307,41.92195
1164,爾志郡乙部町,北海道,162.4,140.18322,42.02211
1165,北斗市,北海道,396.94,140.55439,41.86412
1166,亀田郡七飯町,北海道,216.71,140.70028,41.94875
1167,茅部郡鹿部町,北海道,110.57,140.7825,42.02143
1168,函館市,北海道,676.42,140.92595,41.8375
1169,上磯郡木古内町,北海道,221.41,140.41543,41.7277
1170,Kaminokuni,北海道,547.11,140.17339,41.71393
